Name,Core Voltage,ALMs,Total I/Os,GPIOs,GXB Channel PMA,GXB Channel PCS,PCIe Hard IP Blocks,Memory Controllers,Memory Bits,DSP Blocks,Fractional PLLs,DLLs,Global Clocks,HPS CPU Cores
5CSEBA2U19C8,1.1V,9430,205,205,0,0,0,1,1433600,36,5,4,16,2
5CSEBA2U19C7S,1.1V,9430,205,205,0,0,0,1,1433600,36,5,4,16,1
5CSEBA2U19C7,1.1V,9430,205,205,0,0,0,1,1433600,36,5,4,16,2
5CSEBA2U19C6,1.1V,9430,205,205,0,0,0,1,1433600,36,5,4,16,2
5CSEBA2U19A7,1.1V,9430,205,205,0,0,0,1,1433600,36,5,4,16,2
5CGXFC9E7F35C8,1.1V,113560,616,560,12,12,2,2,12492800,342,8,4,16,0
5CGXFC9E7F31C8,1.1V,113560,536,480,12,12,2,2,12492800,342,8,4,16,0
5CGXFC9E6F35I7,1.1V,113560,616,560,12,12,2,2,12492800,342,8,4,16,0
5CGXFC9E6F35C7,1.1V,113560,616,560,12,12,2,2,12492800,342,8,4,16,0
5CGXFC9E6F31I7,1.1V,113560,536,480,12,12,2,2,12492800,342,8,4,16,0
5CGXFC9E6F31C7,1.1V,113560,536,480,12,12,2,2,12492800,342,8,4,16,0
5CGXFC9D7F27C8,1.1V,113560,378,336,9,9,2,2,12492800,342,8,4,16,0
5CGXFC9D6F27I7,1.1V,113560,378,336,9,9,2,2,12492800,342,8,4,16,0
5CGXFC9D6F27C7,1.1V,113560,378,336,9,9,2,2,12492800,342,8,4,16,0
5CGXFC9C7F23C8,1.1V,113560,252,224,6,6,1,2,12492800,342,8,4,16,0
5CGXFC9C6F23I7,1.1V,113560,252,224,6,6,1,2,12492800,342,8,4,16,0
5CGXFC9C6F23C7,1.1V,113560,252,224,6,6,1,2,12492800,342,8,4,16,0
5CGXFC9A7U19C8,1.1V,113560,264,240,5,5,1,2,12492800,342,8,4,16,0
5CGXFC9A6U19I7,1.1V,113560,264,240,5,5,1,2,12492800,342,8,4,16,0
